,result,table,_time,x,y,z
,,0,2023-05-16T23:00:03.36Z,49,-43,4159
,,0,2023-05-16T23:00:03.38Z,49,-31,4105
,,0,2023-05-16T23:00:03.4Z,52,-29,4131
,,0,2023-05-16T23:00:03.42Z,53,-39,4141
,,0,2023-05-16T23:00:03.44Z,63,-41,4106
,,0,2023-05-16T23:00:03.46Z,49,-21,4136
,,0,2023-05-16T23:00:03.48Z,58,-24,4148
,,0,2023-05-16T23:00:03.5Z,61,-29,4120
,,0,2023-05-16T23:00:03.52Z,50,-23,4143
,,0,2023-05-16T23:00:03.54Z,53,-16,4097
,,0,2023-05-16T23:00:03.56Z,27,-34,4200
,,0,2023-05-16T23:00:03.58Z,47,-29,4111
,,0,2023-05-16T23:00:03.6Z,33,-26,4167
,,0,2023-05-16T23:00:03.62Z,65,-20,4150
,,0,2023-05-16T23:00:03.64Z,17,-44,4173
,,0,2023-05-16T23:00:03.66Z,52,-33,4131
,,0,2023-05-16T23:00:03.68Z,59,-6,4140
,,0,2023-05-16T23:00:03.7Z,32,-33,4126
,,0,2023-05-16T23:00:03.72Z,42,-32,4095
,,0,2023-05-16T23:00:03.74Z,51,-38,4182
,,0,2023-05-16T23:00:03.76Z,32,-24,4139
,,0,2023-05-16T23:00:03.78Z,44,-40,4120
,,0,2023-05-16T23:00:03.8Z,33,-5,4143
,,0,2023-05-16T23:00:03.82Z,26,9,4150
,,0,2023-05-16T23:00:03.84Z,40,-25,4108
,,0,2023-05-16T23:00:03.86Z,64,-27,4131
,,0,2023-05-16T23:00:03.88Z,56,-34,4166
,,0,2023-05-16T23:00:03.9Z,61,-28,4166
,,0,2023-05-16T23:00:03.92Z,71,-26,4106
,,0,2023-05-16T23:00:03.94Z,31,-43,4135
,,0,2023-05-16T23:00:03.96Z,7,-2,4121
,,0,2023-05-16T23:00:03.98Z,64,-35,4154
,,0,2023-05-16T23:00:04Z,72,-25,4158
,,0,2023-05-16T23:00:04.02Z,70,-11,4100
,,0,2023-05-16T23:00:04.04Z,62,-30,4130
,,0,2023-05-16T23:00:04.06Z,33,-40,4107
,,0,2023-05-16T23:00:04.08Z,62,-24,4131
,,0,2023-05-16T23:00:04.1Z,62,-3,4129
,,0,2023-05-16T23:00:04.12Z,69,-7,4170
,,0,2023-05-16T23:00:04.14Z,39,-24,4130
,,0,2023-05-16T23:00:04.16Z,20,-31,4175
,,0,2023-05-16T23:00:04.18Z,29,-34,4157
,,0,2023-05-16T23:00:04.2Z,62,13,4126
,,0,2023-05-16T23:00:04.22Z,30,-43,4128
,,0,2023-05-16T23:00:04.24Z,55,-38,4168
,,0,2023-05-16T23:00:04.26Z,47,-43,4099
,,0,2023-05-16T23:00:04.28Z,38,-33,4113
,,0,2023-05-16T23:00:04.3Z,44,-21,4095
,,0,2023-05-16T23:00:04.32Z,58,-39,4142
,,0,2023-05-16T23:00:04.34Z,34,-47,4127
,,0,2023-05-16T23:00:04.36Z,31,-23,4148
,,0,2023-05-16T23:00:04.38Z,27,-41,4147
,,0,2023-05-16T23:00:04.4Z,70,-12,4118
,,0,2023-05-16T23:00:04.42Z,21,-24,4111
,,0,2023-05-16T23:00:04.44Z,71,-5,4141
,,0,2023-05-16T23:00:04.46Z,18,-24,4162
,,0,2023-05-16T23:00:04.48Z,64,-28,4136
,,0,2023-05-16T23:00:04.5Z,34,-37,4161
,,0,2023-05-16T23:00:04.52Z,29,-24,4166
,,0,2023-05-16T23:00:04.54Z,72,-35,4148
,,0,2023-05-16T23:00:04.56Z,50,-30,4187
,,0,2023-05-16T23:00:04.58Z,46,-37,4116
,,0,2023-05-16T23:00:04.6Z,61,-23,4117
,,0,2023-05-16T23:00:04.62Z,29,-18,4169
,,0,2023-05-16T23:00:04.64Z,17,-38,4146
,,0,2023-05-16T23:00:04.66Z,44,-6,4147
,,0,2023-05-16T23:00:04.68Z,75,-17,4135
,,0,2023-05-16T23:00:04.7Z,70,-30,4128
,,0,2023-05-16T23:00:04.72Z,3,-37,4133
,,0,2023-05-16T23:00:04.74Z,17,-35,4127
,,0,2023-05-16T23:00:04.76Z,47,2,4149
,,0,2023-05-16T23:00:04.78Z,66,-14,4140
,,0,2023-05-16T23:00:04.8Z,46,-29,4168
,,0,2023-05-16T23:00:04.82Z,29,-33,4173
,,0,2023-05-16T23:00:04.84Z,41,-27,4130
,,0,2023-05-16T23:00:04.86Z,60,-2,4117
,,0,2023-05-16T23:00:04.88Z,58,-4,4169
,,0,2023-05-16T23:00:04.9Z,43,-45,4127
,,0,2023-05-16T23:00:04.92Z,35,-41,4152
,,0,2023-05-16T23:00:04.94Z,27,-48,4125
,,0,2023-05-16T23:00:04.96Z,28,-52,4155
,,0,2023-05-16T23:00:04.98Z,78,-18,4178
,,0,2023-05-16T23:00:05Z,120,19,4157
,,0,2023-05-16T23:00:05.02Z,51,-34,4121
,,0,2023-05-16T23:00:05.04Z,6,-56,4111
,,0,2023-05-16T23:00:05.06Z,28,-66,4114
,,0,2023-05-16T23:00:05.08Z,63,2,4157
,,0,2023-05-16T23:00:05.1Z,100,10,4142
,,0,2023-05-16T23:00:05.12Z,34,-6,4158
,,0,2023-05-16T23:00:05.14Z,11,-80,4148
,,0,2023-05-16T23:00:05.16Z,29,-31,4108
,,0,2023-05-16T23:00:05.18Z,89,3,4156
,,0,2023-05-16T23:00:05.2Z,86,-20,4143
,,0,2023-05-16T23:00:05.22Z,45,-18,4173
,,0,2023-05-16T23:00:05.24Z,-5,-35,4152
,,0,2023-05-16T23:00:05.26Z,42,-38,4137
,,0,2023-05-16T23:00:05.28Z,71,8,4142
,,0,2023-05-16T23:00:05.3Z,58,-6,4124
,,0,2023-05-16T23:00:05.32Z,46,-22,4155
,,0,2023-05-16T23:00:05.34Z,40,-74,4082
,,0,2023-05-16T23:00:05.36Z,9,-63,4146
,,0,2023-05-16T23:00:05.38Z,40,-18,4152
,,0,2023-05-16T23:00:05.4Z,55,-27,4147
,,0,2023-05-16T23:00:05.42Z,58,-6,4170
,,0,2023-05-16T23:00:05.44Z,52,-40,4143
,,0,2023-05-16T23:00:05.46Z,50,-31,4126
,,0,2023-05-16T23:00:05.48Z,49,-22,4131
,,0,2023-05-16T23:00:05.5Z,52,-7,4151
,,0,2023-05-16T23:00:05.52Z,74,-6,4138
,,0,2023-05-16T23:00:05.54Z,36,-22,4147
,,0,2023-05-16T23:00:05.56Z,25,-17,4128
,,0,2023-05-16T23:00:05.58Z,31,-8,4122
,,0,2023-05-16T23:00:05.6Z,58,-17,4113
,,0,2023-05-16T23:00:05.62Z,50,-34,4123
,,0,2023-05-16T23:00:05.64Z,35,-42,4127
,,0,2023-05-16T23:00:05.66Z,43,-43,4138
,,0,2023-05-16T23:00:05.68Z,34,-36,4177
,,0,2023-05-16T23:00:05.7Z,21,-18,4111
,,0,2023-05-16T23:00:05.72Z,64,3,4138
