_time,Unnamed: 0,result,table,_start,_stop,_value,_field,_measurement,device,rolling_avg
2025-03-22 22:27:16,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0125,x_g,vib,dkels-241008-013/vib,0.012481879194630872
2025-03-22 22:27:17,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0125,x_g,vib,dkels-241008-013/vib,0.012480536912751677
2025-03-22 22:27:18,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0121,x_g,vib,dkels-241008-013/vib,0.012474496644295303
2025-03-22 22:27:19,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0136,x_g,vib,dkels-241008-013/vib,0.0124751677852349
2025-03-22 22:27:20,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0108,x_g,vib,dkels-241008-013/vib,0.012471140939597315
2025-03-22 22:27:21,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0154,x_g,vib,dkels-241008-013/vib,0.012481543624161075
2025-03-22 22:27:22,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0137,x_g,vib,dkels-241008-013/vib,0.012481879194630872
2025-03-22 22:27:23,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0109,x_g,vib,dkels-241008-013/vib,0.012473489932885905
2025-03-22 22:27:24,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0131,x_g,vib,dkels-241008-013/vib,0.0124751677852349
2025-03-22 22:27:26,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0125,x_g,vib,dkels-241008-013/vib,0.012473400673400675
2025-03-22 22:27:27,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0106,x_g,vib,dkels-241008-013/vib,0.012476094276094276
2025-03-22 22:27:28,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0138,x_g,vib,dkels-241008-013/vib,0.012477104377104378
2025-03-22 22:27:29,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0106,x_g,vib,dkels-241008-013/vib,0.012468350168350167
2025-03-22 22:27:30,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0117,x_g,vib,dkels-241008-013/vib,0.012468013468013468
2025-03-22 22:27:31,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0119,x_g,vib,dkels-241008-013/vib,0.012463636363636363
2025-03-22 22:27:32,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.013,x_g,vib,dkels-241008-013/vib,0.012463299663299664
2025-03-22 22:27:33,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0139,x_g,vib,dkels-241008-013/vib,0.012462289562289562
2025-03-22 22:27:34,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0123,x_g,vib,dkels-241008-013/vib,0.012458922558922558
2025-03-22 22:27:35,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0125,x_g,vib,dkels-241008-013/vib,0.01245858585858586
2025-03-22 22:27:36,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0122,x_g,vib,dkels-241008-013/vib,0.012456902356902357
2025-03-22 22:27:37,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0128,x_g,vib,dkels-241008-013/vib,0.012461279461279461
2025-03-22 22:27:38,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0141,x_g,vib,dkels-241008-013/vib,0.012468350168350168
2025-03-22 22:27:39,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0116,x_g,vib,dkels-241008-013/vib,0.012466666666666668
2025-03-22 22:27:40,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0118,x_g,vib,dkels-241008-013/vib,0.012467003367003368
2025-03-22 22:27:41,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0126,x_g,vib,dkels-241008-013/vib,0.012467003367003368
2025-03-22 22:27:42,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.012,x_g,vib,dkels-241008-013/vib,0.012466666666666668
